EmployeeID,Area,Salary,PerformanceScore,YearsAtCompany,ProjectsCompleted,TrainingHours,OvertimeHours,Absences,ClientSatisfactionScore,RevenueGenerated,TeamCollaborationScore
A1,A,75000,85,5,12,40,120,5,88,500000,80
A2,A,80000,90,6,15,45,100,2,92,550000,85
A3,A,72000,78,4,10,38,110,4,85,480000,78
A4,A,82000,92,7,18,50,90,3,95,600000,88
A5,A,78000,88,5,14,42,115,1,90,520000,82
A6,A,75000,87,6,16,46,105,2,89,515000,84
A7,A,77000,83,4,11,37,125,5,86,490000,81
A8,A,79000,89,5,13,44,108,3,91,505000,83
A9,A,76000,84,6,12,39,112,4,87,495000,79
A10,A,81000,91,7,17,47,95,3,93,575000,86
B1,B,65000,75,4,9,36,130,6,77,450000,72
B2,B,62000,70,3,8,35,140,5,72,420000,68
B3,B,63000,72,3,9,33,135,4,73,430000,70
B4,B,64000,73,4,10,34,132,5,74,440000,71
B5,B,61000,68,3,8,32,138,6,69,410000,67
B6,B,67000,80,5,11,38,125,3,78,480000,74
B7,B,68000,82,5,12,39,120,2,79,490000,75
B8,B,69000,85,6,13,40,115,1,81,500000,76
B9,B,66000,76,4,10,35,130,4,75,460000,73
B10,B,67000,78,5,11,36,127,3,76,470000,74
C1,C,55000,65,3,7,30,145,6,66,390000,61
C2,C,56000,68,4,8,31,140,5,68,400000,63
C3,C,54000,62,2,6,28,150,7,63,370000,59
C4,C,57000,70,4,9,32,135,4,69,410000,65
C5,C,53000,60,2,5,26,155,8,60,360000,57
C6,C,58000,72,5,10,33,130,3,71,420000,66
C7,C,59000,74,5,11,34,125,2,73,430000,68
C8,C,57000,71,4,9,32,135,4,70,410000,65
C9,C,56000,67,4,8,30,140,5,67,400000,64
C10,C,58000,73,5,10,33,132,3,72,420000,67
D1,D,45000,55,2,4,24,165,7,55,310000,50
D2,D,46000,58,3,5,25,160,6,57,320000,52
D3,D,44000,50,1,3,22,170,8,52,290000,48
D4,D,47000,60,3,6,27,155,5,60,330000,54
D5,D,43000,48,1,3,20,175,9,50,280000,46
D6,D,48000,63,4,7,28,150,4,62,340000,55
D7,D,49000,65,4,8,29,145,3,64,350000,57
D8,D,47000,61,3,6,27,155,5,61,330000,53
D9,D,46000,57,3,5,25,160,6,58,320000,51
D10,D,48000,64,4,7,28,150,4,63,340000,56
E1,E,35000,45,1,2,18,185,10,45,240000,40
E2,E,36000,48,2,3,19,180,9,47,250000,42
E3,E,34000,42,1,1,16,190,11,43,230000,38
E4,E,37000,50,2,4,20,175,8,50,260000,44
E5,E,33000,40,1,1,15,195,12,41,220000,36
E6,E,38000,52,3,5,21,170,7,52,270000,45
E7,E,39000,54,3,6,22,165,6,54,280000,47
E8,E,37000,51,2,4,20,175,8,51,260000,43
E9,E,36000,47,2,3,18,180,9,48,250000,41
E10,E,38000,53,3,5,21,170,7,53,270000,46
